storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_max_mm,RH2M,WS2M,storm_max_wind_kt
0,0.6689064392214992,6.782848621929792,0,0.0,0.248944248123498,58.39,2.8,0
0,1.249103410413926,7.088005991136017,0,0.0,0.0389560433076543,54.41,2.69,0
0,1.9554834873896287,7.598367703015316,0,0.0,1.16174615670966,62.74,2.74,0
0,1.1912213807108407,7.81107741881363,0,0.0,0.1641626320357345,57.73,2.48,0
0,0.9839944856004672,8.448722804114729,0,0.0,0.8796857556983387,60.33,2.89,0
0,0.00015428450066412724,8.294314003349918,0,0.0,0.00015428450066412724,53.42,1.89,0
0,1.2387562271385963,5.734972150038801,0,0.0,0.1690007575757573,54.2,2.41,0
0,0.0008159947421218688,9.00995160464556,0,0.0,0.0008159947421218688,34.44,2.79,0
0,1.8375319094986349,6.046562857692372,0,0.0,0.2550390115123231,47.2,2.04,0
0,0.0,9.215733020943611,0,0.0,0.0,46.53,1.92,0
0,2.026281471303468,6.584799305095559,0,0.0,0.7892413211492716,55.76,2.07,0
0,1.9001702727866017,6.399280154643329,0,0.0,0.8097126324391895,60.6,2.1,0
0,1.7419959792024642,6.11937654907514,0,0.0,0.4864913106713933,59.38,2.34,0
0,1.454462113415667,6.455981671293264,0,0.0,0.4920213373249414,47.78,2.29,0
0,0.0332517857414661,10.010150677670486,0,0.0,0.0,31.2,2.78,0
0,1.2949775937553298,6.396273004326186,0,0.0,0.399693436637084,54.58,2.14,0
0,0.013177328879219,4.224680592032275,0,0.0,0.0080773617409574,58.18,2.4,0
0,1.1374826042447448,6.1256255130239134,0,0.0,0.4524575493884197,53.52,2.7,0
0,1.391908890869537,6.291784486038466,0,0.0,0.4577959726444076,47.04,2.09,0
0,0.0126268999344266,4.685114700323687,0,0.0,0.0,59.27,2.57,0
0,0.5991445685642544,5.977093802225378,0,0.0,0.3612168503290516,40.96,2.66,0
0,1.4663997924212566,6.967028118793402,0,0.0,0.7394108515736547,38.7,2.55,0
0,1.1633749831139408,6.607854599256398,0,0.0,0.3612168503290516,46.02,2.23,0
0,0.0126268999344266,5.2056830003596515,0,0.0,0.0046919697672007,51.38,2.05,0
0,1.0534928730553084,6.940708609919274,0,0.0,0.4875358275060839,56.27,2.66,0
0,0.955732958875734,7.48089506064299,0,0.0,0.4838342000282233,52.33,2.31,0
0,0.0186610987842943,5.778425592468211,0,0.0,0.007526932796165,52.41,3.0,0
0,0.3634181435441845,7.651822203554093,0,0.0,0.2392049333789395,51.26,2.38,0
0,0.0202299688225956,6.412109621857828,0,0.0,0.0,32.92,3.36,0
0,0.1856499279531558,8.22276384809297,0,0.0,0.0543178872574809,53.74,2.59,0
0,0.0207831365611938,7.124566246508698,0,0.0,0.0079647885122662,53.52,2.29,0
0,0.9456666176519408,7.14130741228227,0,0.0,0.8305982640057735,40.35,2.35,0
0,0.0,10.239703356604014,0,0.0,0.0,39.73,2.1,0
0,0.7980850617822021,11.122389641856095,0,0.0,0.0332517857414661,26.75,3.09,0
0,0.0135060830896677,7.903813422800631,0,0.0,0.0084139240885446,63.11,2.07,0
0,3.2428017574105654,7.9909676312234525,0,0.0,2.55725669901676,59.82,2.72,0
0,0.6652205109666496,5.246125768027635,0,0.0,0.4572981181794952,53.69,2.02,0
0,1.6231294124068956,5.850606336135486,0,0.0,0.7112086718296634,61.11,2.67,0
0,0.014165512413881,8.771908466629071,0,0.0,0.0005531677385982071,67.73,1.67,0
0,0.3443488255205684,5.320579244531199,0,0.0,0.0352628722890933,49.74,2.23,0
0,0.5932085133569714,5.871274916649414,0,0.0,0.1099491794809336,62.66,2.43,0
0,2.850814251689245,11.550071725635274,0,0.0,1.1537085311225082,53.15,2.74,0
0,3.581528508444536,7.375663679532626,0,0.0,2.195456371711437,66.25,3.6,0
0,0.4105185180445803,9.745950332100524,0,0.0,0.0038571125166031,65.34,2.26,0
0,0.2414069274780496,9.904937389507722,0,0.0,0.2391919287511878,49.52,2.12,55
0,0.5825317898244369,6.3334340813100525,0,0.0,0.092162927545955,58.09,2.35,0
0,2.4282443262751943,11.409141811332564,0,0.0,0.813593236378932,48.32,2.9,0
0,1.600642724727729,11.699540221390947,0,0.0,0.6905172955824994,38.92,2.34,0
0,0.0022921409771938,10.739631465006893,0,0.0,0.0,42.11,2.2,60
0,2.036163393478155,10.028192293404285,0,0.0,0.3228516111493383,31.57,3.07,0
0,3.437395925606844,11.978275433559636,0,0.0,1.05078862421854,60.81,2.71,0
0,0.5623146652791368,6.885223687562865,0,0.0,0.2123776758634793,58.0,2.15,0
0,0.7528502145619248,12.057497456916824,0,0.0,0.6235123615906953,56.68,2.08,0
0,0.0209626774739808,11.932923850007656,0,0.0,0.0021378564765297,41.2,2.12,55
0,0.7247297317178971,9.01402300770218,0,0.0,0.0098006353078936,53.4,2.17,0
0,2.5928673944095277,10.78371186917216,0,0.0,0.8711946558217122,44.44,2.35,0
0,0.4103333818675255,10.824548021759911,0,0.0,0.0270162337245861,54.02,2.35,0
0,0.8866129309949105,7.333257977977484,0,0.0,0.106491438555894,51.69,2.16,0
0,0.1353164113615879,13.25642888170125,0,0.0,0.00015428450066412724,42.37,2.55,40
0,6.0851007963730375,10.821898004178866,0,0.0,4.15267385331434,60.61,2.34,0
0,5.2155484159128305,8.8943965255746,0,0.0,1.7968973080034985,64.2,2.6,0
0,0.7290683268118443,7.969722731155168,0,0.0,0.5588364545310607,42.06,2.49,0
0,0.3282108122196797,12.618445836542383,0,0.0,0.049660247788033,52.46,2.66,0
0,7.869195063498279,12.810278823026184,0,0.0,3.9673973504537106,72.72,2.45,0
0,1.229761877024457,8.725785659107771,0,0.0,0.5520621437793121,35.21,3.64,0
0,1.1622596517715422,10.689214641376196,0,0.0,0.7534690294188214,48.6,2.21,0
0,0.5275576395158831,12.01643643289026,0,0.0,0.3536906101873122,44.39,3.86,0
0,3.5503760940619133,11.876451993046514,0,0.0,0.6434021193675136,65.45,1.58,50
0,0.8211024034939524,12.358210713173438,0,0.0,0.528262209429224,37.34,2.56,0
0,0.4326767824921244,11.039717346619302,0,0.0,0.4012251367803836,61.89,2.37,0
0,3.0089009719520696,11.658373020987437,0,0.0,0.787605374439294,73.52,1.36,45
0,2.820227486321592,11.285162696074645,0,0.0,1.6502366705980496,43.34,2.31,0
0,0.6479332221603684,9.01799542889874,0,0.0,0.5372113306345127,43.88,2.6,0
0,3.276827682423358,12.225210801555685,0,0.0,1.2342366125955375,64.88,1.5,50
0,2.234896124758452,12.39918494715619,0,0.0,1.0562235100439112,67.47,1.74,45
0,1.02443502412999,11.98723941539532,0,0.0,0.585724489204748,60.24,1.67,40
0,2.906624557620635,11.655724730600989,0,0.0,0.7253741925672086,69.9,1.62,45
0,1.7961889110989149,7.924488697909139,0,0.0,1.3405361320808966,66.18,2.87,0
0,1.374918909913306,7.164088441663327,0,0.0,0.8359057459460013,71.51,1.83,0
0,1.8207917507580504,15.248980904290407,0,0.0,1.758042964045186,63.36,2.64,0
0,0.1727699749788975,14.729193996889538,0,0.0,0.0149043403293812,44.22,2.34,35
0,3.668909224792331,12.026306243375352,0,0.0,0.7529750762714162,73.31,1.61,40
0,3.72942708821283,11.85111141931744,0,0.0,0.7819197242321746,71.34,1.64,45
0,0.1164304619642341,6.4718004918933785,0,0.0,0.0198234679277888,73.42,2.2,0
0,0.7872110467562665,10.016702792382194,0,0.0,0.5374325977299519,60.15,2.52,0
0,0.6045157657731933,12.652250617097195,0,0.0,0.0452047919640488,61.02,1.54,45
0,3.161815305336039,8.109894844402191,0,0.0,0.5372361471197181,68.57,1.89,0
0,0.0822145974947339,7.152380103592222,0,0.0,0.0064696651357631,58.35,2.04,0
0,1.668944413210948,12.514593402990789,0,0.0,0.5396880386551333,58.48,3.03,0
0,3.243759542323107,7.613745647144416,0,0.0,0.6777843042960007,64.49,1.83,0
0,0.4942343235315846,8.283679599478289,0,0.0,0.0108201145183151,57.96,1.65,0
0,2.502207118501464,17.463659880374735,0,0.0,1.6280819953294796,50.76,2.41,0
0,1.881091213140889,8.884193767142824,0,0.0,0.9817589749660476,77.41,1.92,0
0,0.812259748734375,14.031375361829989,0,0.0,0.2074136760569407,61.84,1.58,45
0,3.496773217646508,11.044287497997496,0,0.0,1.017699258919898,58.8,2.18,0
0,1.9765365777138155,8.422786827883725,0,0.0,0.8357972984797224,61.78,2.13,0
0,0.2306004777596474,10.44388178245712,0,0.0,0.0204845768115331,49.36,2.3,0
0,0.0464518819028575,11.819809342836225,0,0.0,0.0232558501504732,57.24,2.23,0
0,3.127548798458591,9.26524009318434,0,0.0,0.7331548002695072,78.78,1.51,0
0,0.1777151141539335,7.946208434776201,0,0.0,0.0802629846378248,37.09,3.55,0
0,1.6258225122081194,6.88487935672992,0,0.0,0.0113955532206919,60.13,2.19,0
0,2.308701737286661,7.3822549371639905,0,0.0,0.6641818025670414,67.56,1.81,0
0,0.4629861269940247,8.292212157399788,0,0.0,0.4306535788007912,59.93,2.17,0
0,3.097972216708013,10.281961338961349,0,0.0,2.4447609630910505,68.0,3.53,0
0,0.323907345921315,7.803466196207815,0,0.0,0.2300490889087828,77.23,1.71,0
0,0.8415495574551433,14.48589041351051,0,0.0,0.5380329311986625,48.18,2.04,0
0,0.5695397630446339,8.290127484620388,0,0.0,0.48243945366638,46.97,4.08,0
0,1.7125885051660152,7.62783994435812,0,0.0,0.2429546949845207,53.68,2.3,0
0,0.1229632691196344,7.011899053640551,0,0.0,0.0959500806761241,37.91,2.41,0
0,0.9880747583000258,13.962768695565709,0,0.0,0.2321930856118531,30.21,2.38,0
0,2.6583857742579244,8.951517242892075,0,0.0,1.2113154567643356,48.04,2.26,0
0,0.4833961315536655,9.191308451348949,0,0.0,0.1483633192670616,76.48,2.05,0
0,1.517772987881592,7.340928126181585,0,0.0,0.9466964320766712,60.3,2.32,0
0,2.2448072057275756,8.473312739971487,0,0.0,1.0204736251614712,36.24,3.33,0
