event_id,center_date,is_flood_event,window_n_days,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_3day_max,api_k_0_90_max,storm_wind_max,storm_wind_mean,event_duration_proxy,flood_label_in_window,severity_rank,rp,total_impact,aep
N007,1984-04-02,0,5,7.43965,7.364278,0.0419820690395662,0.0391689483008535,0,0.0,0.0,0,4.524406194095011,14.755672315095286,3.29,2.808,0,0,0.0125,1.0126582278481011,23095.210632517403,0.4975124378109453
N025,2008-03-10,0,5,7.78236,7.45923,0.0529875986471251,0.0421968110806893,0,0.0,0.0,2,9.544134610403257,19.450180467255844,2.63,2.428,0,0,0.025,1.0256410256410258,23095.210632517403,0.4975124378109453
F017,2004-02-24,1,5,7.91426,7.110774000000001,0.0570140119181832,0.0289364900413378,0,0.0,0.0,-2,5.698036683972312,15.842631771182353,2.84,2.2939999999999996,0,1,0.0375,1.0389610389610389,23095.210632517403,0.4975124378109453
N010,1988-12-31,0,5,12.5011,10.709002,0.1880066570032748,0.1388683094432812,0,0.0,0.0,-2,5.906634914469459,21.650196121017245,1.66,1.344,0,0,0.05,1.0526315789473684,23095.210632517403,0.4975124378109453
N021,2002-08-13,0,5,13.306,12.03116,0.2084608364202501,0.174864444086541,0,0.0,0.0,-2,12.286013655698362,29.962290759200037,1.74,1.566,0,0,0.0625,1.0666666666666667,23095.210632517403,0.4975124378109453
N018,2000-04-29,0,5,13.8796,11.28788,0.2219358995007247,0.1522735813603908,0,0.0,0.0,1,17.694786543724994,29.995838902114876,2.5,2.1719999999999997,0,0,0.075,1.081081081081081,23095.210632517403,0.4975124378109453
N012,1995-04-29,0,5,14.8501,13.669479999999998,0.245503838513985,0.2170022011059215,0,0.0,0.0,0,11.817620011064244,30.85194699545097,2.92,2.338,0,0,0.0875,1.095890410958904,23095.210632517403,0.4975124378109453
N026,2010-06-04,0,5,16.0808,13.75054,0.2730445052880227,0.2178450636173297,0,0.0,0.0,-2,11.043503775074452,31.924081859078623,2.69,2.1239999999999997,0,0,0.1,1.1111111111111112,23095.210632517403,0.4975124378109453
N039,2022-03-22,0,5,18.3672,15.4544,0.3180866484135932,0.2551135448542438,0,0.0,0.0,-1,17.193807670837472,29.442727930944734,3.41,2.918,0,0,0.1125,1.1267605633802817,23095.210632517403,0.4975124378109453
N032,2015-01-26,0,5,18.3854,15.775,0.3187308745369624,0.2624201428034573,0,0.0,0.0,-2,8.389871499889242,28.354082103965368,2.61,1.594,0,0,0.125,1.1428571428571428,23095.210632517403,0.4975124378109453
