event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,max_percentile,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,RH2M_mean,WS2M_max,WS2M_mean,storm_max_wind_kt_max,storm_max_wind_kt_mean
F001,9/9/75,1,5,1,148.17928539079526,1,151.18771991278444,241.71805484271425,0.998335749181296,5,0.3964406506683845,4.333116092480007,,,,,30,20.0
F002,7/20/76,1,5,1,2877.371164008235,0,33.4922844505635,110.53495691816676,0.9092714876254899,1,0.009271487625489905,1.3686760272987482,,,,,25,15.0
N001,3/29/77,0,5,0,,0,2.758261598077159,21.98664360508324,0.36495409888870994,0,0.0,0.0413939685899993,,,,,0,0.0
F003,11/20/77,1,5,1,,0,30.31415392923464,73.16489883537373,0.9035808235357277,1,0.0035808235357276397,3.292581154113634,,,,,0,0.0
N002,4/6/78,0,5,0,,0,5.469496497340181,33.63388678476249,0.4140763407956193,0,0.0,0.2669831015349229,,,,,0,0.0
N003,6/21/78,0,5,0,1245.1797828545489,0,26.35734205953444,120.85480562028997,0.8625650936812155,0,0.0,1.9115546191287212,,,,,25,10.0
N004,11/23/78,0,5,0,,0,15.112381173823543,50.106013163614314,0.705749718151071,0,0.0,0.351608557185006,,,,,0,0.0
N005,5/12/79,0,5,0,,0,36.46685984764621,59.02888585130465,0.7488054973962528,0,0.0,1.120159457340235,,,,,0,0.0
N006,7/11/79,0,5,0,221.73411879486545,1,25.30346244094539,58.61648482326958,0.5824877865464111,0,0.0,1.8398940568827908,,,,,65,41.0
F004,9/7/79,1,5,1,1579.7109187090784,0,90.07757063177216,137.00040584179118,0.9788479089493746,3,0.22183389703119116,2.086109586867465,,,,,75,66.0
N007,9/13/79,0,5,1,957.4384995689584,0,32.71088037642621,125.0949702260982,0.9228002362162452,1,0.022800236216245162,0.7896548580094348,,,,,115,94.0
N008,10/18/79,0,5,0,999.496966510656,0,4.079889689194036,19.74871365919729,0.08315885542492081,0,0.0,0.0216328606752152,,,,,30,26.0
F005,6/16/81,1,5,1,97.26064997262012,1,132.0760005750777,195.77422099441876,0.997369409996242,4,0.2211198797444569,4.731952042401626,92.43,90.99800000000002,2.81,2.022,30,11.0
N009,7/7/81,0,5,0,,0,47.79546111128983,125.7249638364581,0.9403553980780587,2,0.0786170612551671,2.769573575695771,89.4,86.854,2.06,1.6460000000000001,0,0.0
N010,8/17/81,0,5,0,1717.8065773054736,0,16.382689339793785,46.50822854724917,0.49406775111397433,0,0.0,0.8797125847329171,89.51,86.188,1.48,1.4260000000000002,45,36.0
N011,11/2/82,0,5,0,,0,30.0268770277579,60.269539666521624,0.7712997262038975,0,0.0,2.60344451140458,87.24,83.136,5.04,2.21,0,0.0
N012,5/18/83,0,5,0,,0,30.61713496073004,59.300274662402856,0.8160734417780641,0,0.0,2.8427193636149006,62.16,56.14399999999999,3.18,2.684,0,0.0
N013,3/26/84,0,5,0,,0,3.5509510321079185,21.1944603934262,0.2014280345734686,0,0.0,0.1646019426146501,79.16,57.306000000000004,4.15,2.614,0,0.0
N014,8/8/84,0,5,0,3478.9291271799484,0,56.4175225091508,114.71161853934925,0.9429323025715359,5,0.15662747624416162,2.5065455462007904,90.12,84.49400000000001,1.82,1.6380000000000003,30,17.0
N015,11/7/84,0,5,0,3253.94806579574,0,4.7894796312529095,30.860152537715788,0.33263542169968324,0,0.0,0.0905139526675226,81.77,79.33599999999998,3.44,2.0460000000000003,80,54.0
N016,3/3/85,0,5,0,,0,13.27673183078259,48.38286269165078,0.675685832393837,0,0.0,0.4038917029638166,77.96,72.17999999999999,3.39,2.1719999999999997,0,0.0
N017,6/20/86,0,5,0,,0,18.89822816345392,80.38003729759367,0.7456917377999678,0,0.0,1.1384306197980534,84.28,82.248,2.25,1.8719999999999999,0,0.0
N018,6/25/86,0,5,0,944.6111239732425,0,54.1525189963551,104.0602059761026,0.9308530627583615,2,0.05929027755408811,1.935754008623478,88.69,85.53,2.25,1.8520000000000003,75,47.0
F006,9/3/88,1,5,1,24.46705567350102,1,170.65594078757596,233.9855752225725,0.9972620389756804,4,0.3428786170612551,8.053188182759387,95.69,92.4,4.72,2.724,65,53.0
N019,12/20/88,0,5,0,,0,22.35285411620136,43.71778224854289,0.5828098996080958,0,0.0,0.5889640807938585,84.9,79.18,1.95,1.488,0,0.0
F007,8/7/90,1,5,1,62.25334149190736,1,137.12544874567232,167.2388269245963,0.9959735867289419,3,0.2623127717828958,5.270432907919234,92.83,88.544,6.54,3.1879999999999997,85,57.0
N020,6/21/91,0,5,0,,0,23.959584101751027,60.95144561202127,0.5794277124604069,0,0.0,1.37182369734403,73.17,68.36800000000001,2.37,2.008,0,0.0
N021,9/12/91,0,5,0,4483.938522325371,0,18.24333650149066,65.84605646492328,0.7216943147044612,0,0.0,0.7777442283784969,88.9,86.06800000000001,1.8,1.5719999999999998,70,40.0
N022,11/18/92,0,5,0,,0,11.758530729196796,112.96200146564364,0.9222633811134375,1,0.022263381113437508,0.2436162975565212,89.76,87.79,2.02,1.6900000000000002,0,0.0
N023,5/12/93,0,5,0,,0,28.979215716980043,56.920337032857674,0.6130348418961722,0,0.0,1.8179180898434613,80.66,71.922,3.66,2.342,0,0.0
