event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,max_percentile,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,WS2M_max,month,RH2M_max_monthly_med,WS2M_max_monthly_med
F001,2075-09-09,1,5,1,148.1792854,1,151.1877199,241.7180548,0.998335749,5,0.396440651,4.333116092,,,9,91.91499999999999,2.9050000000000002
F002,1976-07-20,1,5,1,2877.371164,0,33.49228445,110.5349569,0.909271488,1,0.009271488,1.368676027,,,7,91.43,2.3899999999999997
N001,1977-03-29,0,5,0,,0,2.758261598,21.98664361,0.364954099,0,0.0,0.041393969,,,3,77.96,3.7
F003,1977-11-20,1,5,1,,0,30.31415393,73.16489884,0.903580824,1,0.003580824,3.292581154,,,11,89.11,2.35
N002,1978-04-06,0,5,0,,0,5.469496497,33.63388678,0.414076341,0,0.0,0.266983102,,,4,72.25,3.875
N003,1978-06-21,0,5,0,1245.179783,0,26.35734206,120.8548056,0.862565094,0,0.0,1.911554619,,,6,84.28,2.65
N004,1978-11-23,0,5,0,,0,15.11238117,50.10601316,0.705749718,0,0.0,0.351608557,,,11,89.11,2.35
N005,1979-05-12,0,5,0,,0,36.46685985,59.02888585,0.748805497,0,0.0,1.120159457,,,5,71.15,3.07
N006,1979-07-11,0,5,0,221.7341188,1,25.30346244,58.61648482,0.582487787,0,0.0,1.839894057,,,7,91.43,2.3899999999999997
F004,1979-09-07,1,5,1,1579.710919,0,90.07757063,137.0004058,0.978847909,3,0.221833897,2.086109587,,,9,91.91499999999999,2.9050000000000002
N007,1979-09-13,0,5,1,957.4384996,0,32.71088038,125.0949702,0.922800236,1,0.022800236,0.789654858,,,9,91.91499999999999,2.9050000000000002
N008,1979-10-18,0,5,0,999.4969665,0,4.079889689,19.74871366,0.083158855,0,0.0,0.021632861,,,10,91.17500000000001,3.2750000000000004
F005,1981-06-16,1,5,1,97.26064997,1,132.0760006,195.774221,0.99736941,4,0.22111988,4.731952042,92.43,2.81,6,92.43,2.81
N009,1981-07-07,0,5,0,,0,47.79546111,125.7249638,0.940355398,2,0.078617061,2.769573576,89.4,2.06,7,89.4,2.06
N010,1981-08-17,0,5,0,1717.806577,0,16.38268934,46.50822855,0.494067751,0,0.0,0.879712585,89.51,1.48,8,89.51,1.48
N011,1982-11-02,0,5,0,,0,30.02687703,60.26953967,0.771299726,0,0.0,2.603444511,87.24,5.04,11,87.24,5.04
N012,1983-05-18,0,5,0,,0,30.61713496,59.30027466,0.816073442,0,0.0,2.842719364,62.16,3.18,5,62.16,3.18
N013,1984-03-26,0,5,0,,0,3.550951032,21.19446039,0.201428035,0,0.0,0.164601943,79.16,4.15,3,79.16,4.15
N014,1984-08-08,0,5,0,3478.929127,0,56.41752251,114.7116185,0.942932303,5,0.156627476,2.506545546,90.12,1.82,8,90.12,1.82
